name,name_path,lat,long,weather_station,status
Chara_Muon002,Chara_Muon002,34.01667,-118.28333,CQT,Active
SantaMarta,SantaMarta,11.226093,-74.185848,SKSM,Active
Abuja,Abuja,9.0563,7.4985,DNAA,Active
APO,APO,32.7803,-105.8203,ALM,Active
Serbia_Belgrade_Det1,Serbia_Belgrade/Det1,44.8125,20.4612,LYBE,Active
Serbia_Belgrade_Det2,Serbia_Belgrade/Det2,44.8127,20.4614,LYBE,Active
Colombo_V1,Colombo/V1,6.9271,79.8612,VCBI,Active
Colombo_V2,Colombo/V2,6.9271,79.8615,VCBI,Active
2Paddle,2Paddle,33.7536,-84.39015,ATL,Active
4Paddle,4Paddle,33.7536,-84.39025,ATL,Active
MarkV,MarkV,33.7536,-84.39035,ATL,Inactive
OneParkPlace,OneParkPlace,33.7536,-84.39045,ATL,Active
Rm415_Muon001,Rm415_Muon001,33.7536,-84.39055,ATL,Active
UvaWellassa_Muon001,UvaWellassa_Muon001,6.9895,81.0557,VCRI,Active